School,Size,Icon
Florence High School,,
Hamilton High School,,
JZ George HS,,
Indianola Academy,,
New Summit School,,
Calhoun Academy,,
Delta Academy,,
Houlka High School,,
Bacon County HS,,
Bayou Academy,,
Benton Academy,,
Bruce High School,,
Caledonia High School,,
Canton High School,,
Carroll Academy,,
Carthage Christian Academy,,
Cathedral High School,,
Charleston High School,,
Choctaw Central HS,,
Columbia High School,,
Copiah Academy,,
East Central High School,,
Eupora High School,,
Forrest County AHS,,
Greenville Christian School,,
Grenada High School,,
Hartfield Academy,,
Houston High School,,
Kemper Academy,,
Kirk Academy,,
Laurel Christian School,,
Long Beach High School,,
McLaurin High School,,
MSMS,,
MS School of the Arts,,
Newton County High School,,
North New Summit School,,
North Sunflower Academy,,
Noxapater High School,,
Oak Grove High School,,
Oak Hill Academy,,
Okolona High School,,
Park Place Christian Academy,,
Pearl High School,,
Pearl River Central HS,,
Pelahatchie High School,,
Porters Chapel Academy,,
Prentiss Christian School,,
Presbyterian Christian,,
Puckett High School,,
Resurrection Catholic,,
Richland High School,,
Russell Christian Academy,,
Sacred Heart School,,
Salem High School,,
Simmons High School,,
Southeast Lauderdale HS,,
South Panola HS,,
St. Aloysius HS,,
St. Martin High School,,
Starkville Academy,,
Sumrall HS,,
Terry High School,,
Tri-County Academy,,
Vardaman High School,,
West Lincoln High School,,
Winona High School,,
